txid,ordertxid,pair,aclass,subclass,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers,posttxid,posstatuscode,cprice,ccost,cfee,cvol,cmargin,net,trades
TI4UTC-J4PBO-4Y3LHE,OVB33D-5DAJS-D5Z4UO,BTC/CHF,forex,crypto,2024-03-15 03:23:57.8597,buy,limit,60000,3529.9998,5.648,0.05883333,0,,"LTMSLK-QPMHA-EE3G7U,LZZ3FE-7MNWD-LESKZL",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TKQ3MX-R2FQN-EVWO6P,ONRQWU-PJC2U-ZFTCGO,BTC/CHF,forex,crypto,2024-03-26 05:06:41.3737,buy,limit,63453.3,98.60516,0.24651,0.00155398,0,,"LYZN62-D5KNG-J7SYPQ,LIVZVP-L33TS-UEI6SF",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TSDLU7-FGBVD-YL7MRU,ONRQWU-PJC2U-ZFTCGO,BTC/CHF,forex,crypto,2024-03-26 05:09:18.223,buy,limit,63453.3,1.3947,0.00349,0.00002198,0,,"LIMY2R-OYUOL-3OMJNZ,LVXUGC-LVFHL-HJNOM2",TKH2SE-M7IF5-CFI7LT,,,,,,,,
T3COTL-EMITN-WRGFRR,OJHLNM-Y46MQ-DM7BO2,BTC/CHF,forex,crypto,2024-04-10 12:37:06.5272,buy,limit,61400,1099.74952,2.74937,0.01791123,0,,"L4XFI4-CLCQP-HQFITW,L7GHND-MIWAN-ASZKLH",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TPMEUR-E7N2R-XJKGKX,OIS4A5-CCCHP-SO3EO3,BTC/CHF,forex,crypto,2024-05-28 03:36:06.3191,buy,limit,62000,99.9998,0.25,0.0016129,0,,"LTX632-MK4CH-UG5RV6,L2QNH7-NOZI5-YE3YBX",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TYOXHH-YTCLT-TKALYQ,O5JHYA-7PUZY-ZTN5FV,BTC/CHF,forex,crypto,2024-06-18 19:46:58.0564,buy,limit,57000,999.99945,2.5,0.01754385,0,,"LOVZDD-D6X2M-KL7NUT,L5LBBE-PR5TV-OFGIYQ",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TE4HZN-X34RZ-ABKSOE,OO7PNQ-MJ6GN-YSEVEE,BTC/CHF,forex,crypto,2024-06-25 05:37:18.9886,buy,limit,54570.7,371.50095,0.92875,0.0068077,0,,"LZAVHG-UAC2W-AH4TSW,LQ6H6N-6KL4W-QIOUNT",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TW2AGB-336KZ-XXCA5B,OKVDFM-JSVST-TZI63A,BTC/CHF,forex,crypto,2024-09-03 21:23:43.415,buy,limit,49400,320.8362,0.80209,0.00649466,0,,"LNOL7L-MWWKN-D22YHX,LYKF6U-6ABKD-7D4SJF",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TEZNXE-WXBNU-PY7WSJ,OKVDFM-JSVST-TZI63A,BTC/CHF,forex,crypto,2024-09-03 21:25:59.7785,buy,limit,49400,679.16355,1.69791,0.01374825,0,,"LZW6V7-NGEBE-H4TXHC,L6FCOX-O22YT-LICJWC",TKH2SE-M7IF5-CFI7LT,,,,,,,,
THBPNA-ON2VC-I3D446,OF54UR-2NFXU-XIVHG3,BTC/CHF,forex,crypto,2024-09-03 23:54:51.9333,buy,limit,48900,825.77234,2.06443,0.01688696,0,,"LFPM5Z-4VTNE-ZOHJ5M,LRKSTL-34VPZ-M5PDU3",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TOVD6P-QHGDZ-5SEIZ7,OF54UR-2NFXU-XIVHG3,BTC/CHF,forex,crypto,2024-09-03 23:54:52.6376,buy,limit,48900,174.22728,0.43557,0.00356293,0,,"LMEJ44-MCRAV-JCACFS,LQT4NT-4P55P-374MZS",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TP6JSU-JEXLM-UWOMEL,OYCVAV-TYMVI-T4IUEC,BTC/CHF,forex,crypto,2024-09-04 01:00:05.7211,buy,limit,48500,999.99968,2.5,0.02061855,0,,"LGYRHD-CFMVA-FSTJN5,L7YTPE-SO3CX-ILQ6J7",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TIEKND-ASJ7J-MESPOI,OD4SXT-R2ESE-T7NJNO,BTC/CHF,forex,crypto,2024-09-04 01:01:50.6447,buy,limit,48000,460.7424,1.15186,0.0095988,0,,"LX6ZHQ-OW3T5-UZU2Y4,LOQLHG-DZSOC-5D22DM",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TXF7B4-J3G3U-YRGUOZ,OD4SXT-R2ESE-T7NJNO,BTC/CHF,forex,crypto,2024-09-04 01:01:51.3977,buy,limit,48000,960,2.4,0.02,0,,"L3FXUK-UW7BL-RHHTDJ,L7LGFW-CZSYT-TRC7JB",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TWAYMB-VLEK5-7POCF3,OD4SXT-R2ESE-T7NJNO,BTC/CHF,forex,crypto,2024-09-04 01:01:52.0558,buy,limit,48000,65.11056,0.16278,0.00135647,0,,"LPUQV7-UMMLJ-VYMCJU,L7HANU-DPXII-3MZDUA",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TSQY2U-6OEV7-YZ4PXO,OD4SXT-R2ESE-T7NJNO,BTC/CHF,forex,crypto,2024-09-04 01:01:52.0751,buy,limit,48000,19.4136,0.04853,0.00040445,0,,"LHOKJ6-GG7OE-BYLAKZ,L5GAWF-AQWNS-NE7OZU",TKH2SE-M7IF5-CFI7LT,,,,,,,,
T7DBQM-GG2JY-Y4FALP,OD4SXT-R2ESE-T7NJNO,BTC/CHF,forex,crypto,2024-09-04 01:01:53.3259,buy,limit,48000,494.73312,1.23683,0.01030694,0,,"LQISVA-OO3XR-L442VY,LUFEL3-W4TWW-OBGQ7I",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TSN6LF-LTLSA-5R2FZV,OXOEOK-RN2LX-POKMZS,BTC/CHF,forex,crypto,2025-01-20 12:10:58.7881,buy,limit,98000,999.99984,2.5,0.01020408,0,,"LIL4NP-46ZDG-L6H35E,LBVNSK-6MQ7Y-YQ3WKQ",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TY3CYT-BE65A-OTZAIR,OKXH4V-AB6GH-5QCLVU,BTC/CHF,forex,crypto,2025-01-20 12:18:02.6962,buy,limit,97000,999.99919,2.5,0.01030927,0,,"L7W5HE-LSW43-TNK24T,LJ33N4-USK65-YOXFHU",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TVT4R2-5NEXL-WMVPSB,OFYCYT-M2BSJ-ZYNE3H,BTC/CHF,forex,crypto,2025-01-20 12:18:02.6962,buy,limit,96000,999.99936,2.5,0.01041666,0,,"LSKNJW-SYWQ4-XSAZGB,LTPV54-GDLP6-Q22JF7",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TTI4M6-4ZUDL-HU64UY,OEPV6Y-7UKS5-TW5NTL,BTC/CHF,forex,crypto,2025-01-20 17:06:00.7165,buy,limit,93000,992.48949,2.48122,0.01067193,0,,"LKBSJV-BBB3N-3UOKOY,LLZD2K-ZBSML-ZYJPIS",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TUEXDL-FEKHW-ZEB6J7,OQ6ST4-ZS2JC-AZCWOV,USD/CHF,forex,fiat,2025-07-11 04:01:31.6636,buy,limit,0.7964,200,0.4,251.13008538,0,,"L3INVX-Q425Q-H5QA2S,LM3AFL-H4YYK-QUGXJS",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TL452L-TNJUV-TMPZQI,O5JLMW-WNKLG-M2Q66G,XRP/USD,forex,crypto,2025-07-11 04:08:00.9444,buy,limit,2.57,250.61999998,0.62655,97.51750972,0,,"LDMRIJ-4BQSJ-MIUAMF,LXTO2K-VFB6Q-RPG7GX",TKH2SE-M7IF5-CFI7LT,,,,,,,,
T42TB7-Y77DJ-XT2A3T,OSYRDX-P57XQ-ASEG6B,BTC/CHF,forex,crypto,2025-12-04 14:35:00.3562,buy,limit,74000,96.0002,0.24,0.0012973,0,,"L5CKVX-LGR2H-HSH7UG,L5BMOW-FBL3R-D346I5",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TVB7BW-XBCL2-JHXSWS,OSYRDX-P57XQ-ASEG6B,BTC/CHF,forex,crypto,2025-12-04 14:35:00.473,buy,limit,74000,3.9997,0.01,0.00005405,0,,"LQM33W-D5N6V-HKX4NI,L3OPGL-AXWVB-MHNPTP",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TG7WHM-UJ7VP-VZBSIA,OSYB5L-OQ6N2-RPFDMY,BTC/CHF,forex,crypto,2025-12-07 14:25:16.9251,buy,limit,71000.7,99.99952,0.25,0.00140843,0,,"LURPI5-SFGVJ-TXLVV3,LJKCZQ-CD7UV-BXSAVH",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TO4M7F-SBAJJ-4D5MHZ,OSSHTX-DCYH3-OLAXUA,BTC/CHF,forex,crypto,2025-12-14 23:32:19.3354,buy,limit,70000,99.9999,0.25,0.00142857,0,,"LDBIBT-LVBXD-YC3SGD,LMG55O-KAJOE-A2AZV4",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TSYXRN-3HQOH-ZOCKOK,OLOUSG-H75FD-RUNHQ5,BTC/CHF,forex,crypto,2026-01-25 22:03:34.7477,buy,limit,67000,99.75965,0.2494,0.00148895,0,,"L2WP45-6QACE-KDJJE2,L32LGN-STEFZ-QUN6L5",TKH2SE-M7IF5-CFI7LT,,,,,,,,
TS25E5-H2BOP-GBSRUJ,OZE375-K6OWL-AL34VD,BTC/CHF,forex,crypto,2026-01-29 15:43:25.106,buy,limit,65000,99.9999,0.25,0.00153846,0,,"LJKLFQ-GXHTF-K3FUD7,L5YF4Q-Z3E32-DJEGRW",TKH2SE-M7IF5-CFI7LT,,,,,,,,
